Submission_ID	Tube_ID	Sample_ID	Type	Date_Collected	Sample_Type	gGenus	sSpecies	Group	Ploidy	PloidyGroup	RegionOrigin	CountryOrigin	Status	Comments	GenomeLineage
C03_7_Rh_07132017	C03.7.Rh 7/13 *	C03_7_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_7_Root_07132017	C03.7.Root 7/13/17	C03_7_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_7_Soil_07132017	C03.7.soil 7/13	C03_7_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
Centrifuged_Inoculum_Soil_Leftover_06212017	ino sludge (wet sludge). 6/21	Centrifuged_Inoculum_Soil_Leftover	Cent_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Centrifuged_Inoculum_Soil_Leftover_A_06212017	wet soil inoculum 6/21 A	Centrifuged_Inoculum_Soil_Leftover_A	Cent_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Centrifuged_Inoculum_Soil_Leftover_B_06212017	wet soil innoculum B 6/21	Centrifuged_Inoculum_Soil_Leftover_B	Cent_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Centrifuged_Inoculum_Soil_Leftover_C_06212017	ino sludge (wet sludge). 6/21	Centrifuged_Inoculum_Soil_Leftover_C	Cent_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Centrifuged_Inoculum_Soil_Leftover_D_06212017	wet soil innoculum 6/21	Centrifuged_Inoculum_Soil_Leftover_D	Cent_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
ENT7_2_Root_07132017	ENT7.2.Root 7/13/17	ENT7_2_Root	E_Root	7/13/17	Root	Triticum	GANAESQUARROSA_180	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_2_Soil _07132017	ENT7 2 Soil 7/13/17	ENT7_2_Soil	E_Soil	7/13/17	Soil	Triticum	GANAESQUARROSA_180	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_31_Rh_07132017	ENT7.31.Rh 7/13	ENT7_31_Rh	E_Rh	7/13/17	Rhizosphere	Triticum	GANAESQUARROSA_181	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_31_Root_07132017	ENT7.31.Root 7/13/17	ENT7_31_Root	E_Root	7/13/17	Root	Triticum	GANAESQUARROSA_180	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_31_Soil_07132017	ENT7 31 7/13 soil	ENT7_31_Soil	E_Soil	7/13/17	Soil	Triticum	GANAESQUARROSA_182	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_60_Soil_07132017	ENT7 60 7/13 soil	ENT7_60_Soil	E_Soil	7/13/17	Soil	Triticum	GANAESQUARROSA_183	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_9_Rh_07132017	ENT7 9 7/13 Rh	ENT7_9_Rh	E_Rh	7/13/17	Rhizosphere	Triticum	GANAESQUARROSA_184	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_9_Root_07132017	ENT7.9.Root 7/13/17	ENT7_9_Root	E_Root	7/13/17	Root	Triticum	GANAESQUARROSA_180	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
ENT7_9_Soil_07132017	ENT7 9 7/13 soil	ENT7_9_Soil	E_Soil	7/13/17	Soil	Triticum	GANAESQUARROSA_185	W	6n	Polyploid	CIMMYT	NorthAmerica	Synthetic	.	AABBDD
Inoculated_Soil_06222017	dil inoc 6/22	Inoculum	Inoculum	6/22/17	Soil	.	.	.	.	.	.	.	.	(already measured by Siwen)	.
Inoculated_Soil_06232017	soil + dil 6/23	Inoculated_Soil	Ino_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_06282017	dil ino 6/28 (siwen measured)	Inoculum	Inoculum	6/22/17	Soil	.	.	.	.	.	.	.	.	(already measured by Siwen)	.
Inoculated_Soil_07032017	soil dil 7/3	Inoculated_Soil	Ino_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_1_07032017	soil dil TP2 1 7/3	Inoculated_Soil_1	Ino_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_1_07102017	soil dil 1 7/10	Inoculated_Soil_1	Ino_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_2_07032017	soil dil 7/3 tp2 2	Inoculated_Soil_2	Ino_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_2_07102017	soil dil 7/10 2	Inoculated_Soil_2	Ino_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_3_07032017	soil dil 7/3 3 TP2	Inoculated_Soil_3	Ino_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_3_07102017	soil dil 3 7/10	Inoculated_Soil_3	Ino_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_34_07132017	soil dil 34 7/13	Inoculated_Soil_34	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_35_07132017	soil dil 35 7/13	Inoculated_Soil_35	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_4_07032017	soil dil TP2 4 7/3	Inoculated_Soil_4	Ino_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_4_07102017	soil dil 7/10 4	Inoculated_Soil_4	Ino_Soil	7/10/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_5_07032017	soil dil tp2 5 7/3 soil	Inoculated_Soil_5	Ino_Soil	7/3/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_5_07132017	soil dil 5 soil 7/13	Inoculated_Soil_5	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_56_07132017	soil dil 56 7/13 soil	Inoculated_Soil_56	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_75_07132017	soil dil 75 7 /13	Inoculated_Soil_75	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_75_A_07132017	soil dil 75 A 7/13	Inoculated_Soil_75_A	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_75_B_07132017	soil dil 75 B 7/13	Inoculated_Soil_75_B	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_75_C_07132017	soil dil 75 C 7/13	Inoculated_Soil_75_C	Ino_Soil	7/13/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_A_06232017	soil dil A 6/23	Inoculated_Soil_A	Ino_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_B_06232017	soil dil 6/23 B soil	Inoculated_Soil_B	Ino_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_C_06232017	soil dil 6/23 C	Inoculated_Soil_C	Ino_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	.	.
Inoculated_Soil_D_06232017	soil dil 6/23 D	Inoculated_Soil_D	Ino_Soil	6/23/17	Soil	.	.	.	.	.	.	.	.	"put in X,y,z for samples with same id atm please!"	.
Soil_Used_For_Inoculum_2_06212017	s.f.i. 2 6/21	Soil_Used_For_Inoculum_2	OG_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Soil_Used_For_Inoculum_A_06212017	s.f.i. 6/21	Soil_Used_For_Inoculum_A	OG_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Soil_Used_For_Inoculum_B_06212017	s.f.i. 6/21	Soil_Used_For_Inoculum_B	OG_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	.	.
Soil_Used_For_Inoculum_D_06212017	s.f.i 6/21 D	Soil_Used_For_Inoculum_D	OG_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	could be wrong/from not used innoculum	.
Soil_Used_For_Inoculum_E_06222017	s.f.i 6/22 E	Soil_Used_For_Inoculum_E	OG_Soil	6/21/17	Soil	.	.	.	.	.	.	.	.	(already measured by Siwen)	.
W02_25_Rh_07132017	W02 25 7/13 Rh	W02_25_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	.	AA
W02_25_Root_07132017	W02.25.Root 7/13/17	W02_25_Root	W_Root	7/13/17	Root	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	.	AA
W02_25_Soil_07132017	W02.25.soil	W02_25_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	1	AA
W02_30_Root_07132017	W02.30.Root 7/13/17	W02_30_Root	W_Root	7/13/17	Root	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	.	AA
W02_30_Soil_07132017	W02.30.soil 7/13	W02_30_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	.	AA
W02_39_Rh_07132017	W02 39 Rh* 7/13	W02_39_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	.	AA
W02_39_Root_07132017	W02.39.Root 7/13/17	W02_39_Root	W_Root	7/13/17	Root	Triticum	Triticum_monococcum_L_subsp_monococcum	W	2n	Diploid	Germany	Europe	Cultivated	.	AA
