Submission_ID	Tube_ID	Sample_ID	Type	Date_Collected	Sample_Type	gGenus	sSpecies	Group	Ploidy	PloidyGroup	RegionOrigin	CountryOrigin	Status	Comments	GenomeLineage
W23_62_Soil_07132017	W23.62.soil 7/13	W23_62_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	W	2n	Diploid	England	Europe	Wild	.	AA
W23_63_Soil_07132017	W23.63.soil 7/13	W23_63_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	W	2n	Diploid	England	Europe	Wild	.	AA
W36_3_Soil_07132017	W36.3.Soil 7/13	W36_3_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_33_Rh_07132017	W36.33.Rh* 7/13	W36_33_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	*	AABBDD
W36_33_Root_07132017	W36.33.Root 7/13/17	W36_33_Root	W_Root	7/13/17	Root	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_33_Soil_07132017	W36.33.soil 7/13	W36_33_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_38_Root_07132017	W36.38.Root 7/13/17	W36_38_Root	W_Root	7/13/17	Root	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_38_Soil_07132017	W36 38 7/13 soil	W36_38_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_55_Soil_07132017	W36.55.Soil 7/13	W36_55_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_73_Soil_07132017	W36.73.Soil 7/13/17	W36_73_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_8_Rh_07132017	W36 8 7/13 Rh	W36_8_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W36_8_Root_07132017	W36.8.Root 7/13/17	W36_8_Root	W_Root	7/13/17	Root	Triticum	Triticum_aestivum_L_subsp_aestivum	W	6n	Polyploid	Brazil	SouthAmerica	Cultivated	.	AABBDD
W40_16_Rh*_07132017	W40* 16 7/13 Rh	W40_16_Rh*	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_16_Root_07132017	W40.16.Root 7/13/17	W40_16_Root	W_Root	7/13/17	Root	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_16_Soil_07132017	W40.16.Soil 7/13/18	W40_16_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_21_Rh_07132017	W40.21.Rh * 7/13	W40_21_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	*	AABB
W40_21_Soil_07132017	W40.21.soil 7/13	W40_21_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_26_Rh_07132017	W40 26 7/13 Rh	W40_26_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_26_Root_07132017	W40.26.Root 7/13/17	W40_26_Root	W_Root	7/13/17	Root	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_3_Rh_07132017	W40.3.Rh 7/13	W40_3_Rh	W_Rh	7/13/17	Rhizosphere	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_3_Root_07132017	W40.3.Root 7/13/17	W40_3_Root	W_Root	7/13/17	Root	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_3_Soil_07132017	W40.3.soil 7/13	W40_3_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
W40_36_Soil_07132017	W40.36.Soil 7/13/17	W40_36_Soil	W_Soil	7/13/17	Soil	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	W	4n	Polyploid	South Africa	Africa	Cultivated	.	AABB
