ID	SoilBatch	Treatment	Temp_Trt	Water_Trt	Timepoint	PlantAge	DaysStressed	Height	Dead	Limp	FreshShoot	DryShoot	ShootWaterPer	SoilMoisture	LeafRWC	FreshLeaf	DriedLeaf
S.C.W.2.3	4	C.W	C	Watered	2	30	21	39	N	N	4.727	0.487	89.697	34.284	97.808	1.034	0.097
S.C.W.2.1	2	C.W	C	Watered	2	30	21	62	N	N	6.715	0.636	90.529	31.89	96.777	1.321	0.15
S.C.W.2.4	14	C.W	C	Watered	2	30	21	59	N	N	7.85	0.862	89.019	34.621	98.678	0.483	0.035
S.H2.W.2.5	4	H2.W	H2	Watered	2	30	21	43	N	N	2.416	0.209	91.349	32.095	97.445	0.578	0.044
S.H2.W.2.4	17	H2.W	H2	Watered	2	30	21	34	N	N	1.332	0.107	91.967	32.251	100	0.322	0.01
S.H2.W.2.3	3.4	H2.W	H2	Watered	2	30	21	43	N	N	2.202	0.197	91.054	32.052	96.85	0.52	0.028
S.H2.W.2.2	13.14	H2.W	H2	Watered	2	30	21	45	N	N	1.514	0.128	91.546	32.825	100	0.4	0.022
S.H2.W.2.1	6	H2.W	H2	Watered	2	30	21	44.5	N	N	2.805	0.2	92.87	32.801	98.387	0.665	0.055
S.H1.W.2.1	3	H1.W	H1	Watered	2	30	21	45	N	N	2.808	0.21	92.521	30.599	99.383	0.521	0.038
S.H1.W.2.3	10.11	H1.W	H1	Watered	2	30	21	38	N	N	2.636	0.201	92.375	31.835	95	0.503	0.028
