Sample_ID	SoilBatch	ID	Treatment	Temp_Trt	Water_Trt	Experiment	SampleType	ST	Replicate	HarvestDate	TimePoint
S_H2_W_2_5_Root_11_28_2018	.	S.H2.W.2.5.Root	H2.W	38C	Watered	Actual	Root	Root	5	11.28.2018	2
S_H2_W_2_6_Root_11_28_2018	.	S.H2.W.2.6.Root	H2.W	38C	Watered	Actual	Root	Root	6	11.28.2018	2
S_H2_W_2_1_11_28_2018	.	S.H2.W.2.1	H2.W	38C	Watered	Actual	Soil	S	1	11.28.2018	2
S_H2_W_2_2_S_11_19_2018	.	S.H2.W.2.2.S	H2.W	38C	Watered	Actual	Soil	Soil	2	.	2
S_H2_W_2_2_S_11_2018	.	S.H2.W.2.2.S	H2.W	38C	Watered	Actual	Soil	Soil	2	11.28.2018	2
S_H2_W_2_3_11_28_2018	.	S.H2.W.2.3	H2.W	38C	Watered	Actual	Soil	S	3	11.28.2018	2
S_H2_W_2_4_11_28_2018	.	S.H2.W.2.4	H2.W	38C	Watered	Actual	Soil	S	4	11.28.2018	2
S_H2_W_2_5_11_28_2018	.	S.H2.W.2.5	H2.W	38C	Watered	Actual	Soil	S	5	11.28.2018	2
S_H2_W_2_6_11_28_2018	.	S.H2.W.2.6	H2.W	38C	Watered	Actual	Soil	S	6	11.28.2018	2
Gilltract_09_21	.	Gilltract	.	.	.	Pilot	FieldSoil	FieldSoil	.	9.21	9.21
Batch4_09_24_2018	4	Batch4	.	.	.	Pilot	Mix	Mix	.	09.24.2018	09.24.2018
Batch6_09_24_2018	6	Batch6	.	.	.	Pilot	Mix	Mix	.	09.24.2018	09.24.2018
Batch10_09_24_2018	10	Batch10	.	.	.	Pilot	Mix	Mix	.	09.24.2018	09.24.2018
Batch2_09_24_2018	2	Batch2	.	.	.	Pilot	Mix	Mix	.	09.24.2018	09.24.2018
FieldSoilinitial_9_21_2018	.	FieldSoilinitial	.	.	.	Pilot	FieldSoil	FieldSoil	.	9.21.2018	9.21.2018
Batch16_9_24_2018	16	Batch16	.	.	.	Pilot	Mix	Mix	.	9.24.2018	9.24.2018
Batch12_9_24_2018	12	Batch12	.	.	.	Pilot	Mix	Mix	.	9.24.2018	9.24.2018
Batch14_9_24_2018	14	Batch14	.	.	.	Pilot	Mix	Mix	.	9.24.2018	9.24.2018
Batch3_9_24_2018	3	Batch3	.	.	.	Pilot	Mix	Mix	.	9.24.2018	9.24.2018
Batch9_9_24_2018	9	Batch9	.	.	.	Pilot	Mix	Mix	.	9.24.2018	9.24.2018
Batch8_9_24_2018	8	Batch8	.	.	.	Pilot	Mix	Mix	.	9.24.2018	9.24.2018
Gilltract_postsiev_09_21	.	Gilltract	.	.	.	Pilot	FieldSoil	FieldSoil	.	09.21.2018	postsiev
FieldSoil3_10_29_2018	.	FieldSoil3	.	.	.	Actual	FieldSoil	FieldSoil	.	10.29.2018	PreExp
FieldSoil2_10_26_2018	.	FieldSoil2	.	.	.	Actual	FieldSoil	FieldSoil	.	10.26.2018	PreExp
Batch4_10_29_2018	4	Batch4	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch5_10_29_2018	5	Batch5	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch15_10_29_2018	15	Batch15	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch12_10_29_2018	12	Batch12	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch8_10_29_2018	8	Batch8	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch1_10_29_2018	1	Batch1	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch16_10_29_2018	16	Batch16	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch1R2_10_29_2018	1R2	Batch1R2	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch9_10_29_2018	9	Batch9	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch10_10_29_2018	10	Batch10	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch11_10_29_2018	11	Batch11	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch14_10_29_2018	14	Batch14	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch17_10_29_2018	17	Batch17	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch13_10_29_2018	13	Batch13	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch3_10_29_2018	3	Batch3	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch7_10_29_2018	7	Batch7	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch6_10_29_2018	6	Batch6	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch2_10_29_2018	2	Batch2	.	.	.	Actual	Mix	Mix	.	10.29.2018	PreExp
Batch1_10_2018	1	Batch1	.	.	.	Actual	Mix	Mix	.	10.2018	PreExp
