SampleID	Timepoint	Treatment	SampleType	Species	Ploidy	Photosynthesis	Block	GenomeLineage
8_6_D_Soil	early	Drought	Soil	Bd	.	C3	8	.
8_6_W_Root	early	Control	Root	Bd	.	C3	8	.
8_6_W_RZ	early	Control	Rhizosphere	Bd	.	C3	8	.
8_7_W_Root	early	Control	Root	Ms	.	C4	8	.
8_7_W_RZ	early	Control	Rhizosphere	Ms	.	C4	8	.
8_7_W_Soil	early	Control	Soil	Ms	.	C4	8	.
8_8_D_Soil	early	Drought	Soil	Soil	.	Soil	8	.
8_9_D_Root	early	Drought	Root	Sn	.	C4	8	.
8_9_D_RZ	early	Drought	Rhizosphere	Sn	.	C4	8	.
8_9_W_Root	early	Control	Root	Sn	.	C4	8	.
8_9_W_RZ	early	Control	Rhizosphere	Sn	.	C4	8	.
8_9_W_Soil	early	Control	Soil	Sn	.	C4	8	.
9_1_D_Root	early	Drought	Root	Tt	4n	C3	9	AABB
9_1_D_RZ	early	Drought	Rhizosphere	Tt	4n	C3	9	AABB
9_1_D_Soil	early	Drought	Soil	Tt	4n	C3	9	AABB
9_1_W_Root	early	Control	Root	Tt	4n	C3	9	AABB
9_1_W_RZ	early	Control	Rhizosphere	Tt	4n	C3	9	AABB
9_1_W_Soil	early	Control	Soil	Tt	4n	C3	9	AABB
9_10_D_Root	early	Drought	Root	Sl	.	C4	9	.
9_10_D_RZ	early	Drought	Rhizosphere	Sl	.	C4	9	.
9_10_D_Soil	early	Drought	Soil	Sl	.	C4	9	.
9_10_W_Root	early	Control	Root	Sl	.	C4	9	.
9_10_W_RZ	early	Control	Rhizosphere	Sl	.	C4	9	.
9_11_D_Root	early	Drought	Root	Pa	.	C4	9	.
9_11_D_RZ	early	Drought	Rhizosphere	Pa	.	C4	9	.
9_11_W_Root	early	Control	Root	Pa	.	C4	9	.
9_11_W_RZ	early	Control	Rhizosphere	Pa	.	C4	9	.
9_11_W_Soil	early	Control	Soil	Pa	.	C4	9	.
9_12_D_Root	early	Drought	Root	TaB	6n	C3	9	AABBDD
9_12_D_RZ	early	Drought	Rhizosphere	TaB	6n	C3	9	AABBDD
9_12_D_Soil	early	Drought	Soil	TaB	6n	C3	9	AABBDD
9_12_W_Root	early	Control	Root	TaB	6n	C3	9	AABBDD
9_12_W_RZ	early	Control	Rhizosphere	TaB	6n	C3	9	AABBDD
9_13_D_Root	early	Drought	Root	Fa	.	C3	9	.
9_13_D_RZ	early	Drought	Rhizosphere	Fa	.	C3	9	.
9_13_W_Root	early	Control	Root	Fa	.	C3	9	.
9_13_W_RZ	early	Control	Rhizosphere	Fa	.	C3	9	.
9_13_W_Soil	early	Control	Soil	Fa	.	C3	9	.
9_14_D_Soil	early	Drought	Soil	Soil	.	Soil	9	.
9_14_W_Soil	early	Control	Soil	Soil	.	Soil	9	.
9_15_D_Root	early	Drought	Root	As	.	C3	9	.
9_15_D_RZ	early	Drought	Rhizosphere	As	.	C3	9	.
9_15_D_Soil	early	Drought	Soil	As	.	C3	9	.
9_15_W_Root	early	Control	Root	As	.	C3	9	.
9_15_W_RZ	early	Control	Rhizosphere	As	.	C3	9	.
9_16_W_Root	early	Control	Root	Bb	.	C4	9	.
9_16_W_RZ	early	Control	Rhizosphere	Bb	.	C4	9	.
9_16_W_Soil	early	Control	Soil	Bb	.	C4	9	.
9_17_W_Root	early	Control	Root	Et	.	C4	9	.
9_17_W_RZ	early	Control	Rhizosphere	Et	.	C4	9	.
9_18_D_Root	early	Drought	Root	Tm	2n	C3	9	AA
9_18_D_RZ	early	Drought	Rhizosphere	Tm	2n	C3	9	AA
9_18_D_Soil	early	Drought	Soil	Tm	2n	C3	9	AA
9_18_W_Root	early	Control	Root	Tm	2n	C3	9	AA
9_18_W_RZ	early	Control	Rhizosphere	Tm	2n	C3	9	AA
9_18_W_Soil	early	Control	Soil	Tm	2n	C3	9	AA
9_19_D_Root	early	Drought	Root	SbA	.	C4	9	.
9_19_D_RZ	early	Drought	Rhizosphere	SbA	.	C4	9	.
9_19_D_Soil	early	Drought	Soil	SbA	.	C4	9	.
9_2_D_Root	early	Drought	Root	Ls	.	out	9	.
9_2_D_RZ	early	Drought	Rhizosphere	Ls	.	out	9	.
9_2_D_Soil	early	Drought	Soil	Ls	.	out	9	.
9_2_W_Root	early	Control	Root	Ls	.	out	9	.
9_2_W_RZ	early	Control	Rhizosphere	Ls	.	out	9	.
9_20_D_Root	early	Drought	Root	TaG	6n	C3	9	AABBDD
9_20_D_RZ	early	Drought	Rhizosphere	TaG	6n	C3	9	AABBDD
9_20_D_Soil	early	Drought	Soil	TaG	6n	C3	9	AABBDD
9_20_W_Root	early	Control	Root	TaG	6n	C3	9	AABBDD
9_20_W_RZ	early	Control	Rhizosphere	TaG	6n	C3	9	AABBDD
9_20_W_Soil	early	Control	Soil	TaG	6n	C3	9	AABBDD
9_3_W_Root	early	Control	Root	Bd	.	C3	9	.
9_3_W_RZ	early	Control	Rhizosphere	Bd	.	C3	9	.
9_3_W_Soil	early	Control	Soil	Bd	.	C3	9	.
9_4_D_Root	early	Drought	Root	Sc	.	C3	9	.
9_4_D_RZ	early	Drought	Rhizosphere	Sc	.	C3	9	.
9_4_D_Soil	early	Drought	Soil	Sc	.	C3	9	.
9_4_W_Root	early	Control	Root	Sc	.	C3	9	.
9_4_W_RZ	early	Control	Rhizosphere	Sc	.	C3	9	.
9_5_D_Root	early	Drought	Root	Hv	.	C3	9	.
9_5_D_RZ	early	Drought	Rhizosphere	Hv	.	C3	9	.
9_5_D_Soil	early	Drought	Soil	Hv	.	C3	9	.
9_5_W_Root	early	Control	Root	Hv	.	C3	9	.
9_5_W_RZ	early	Control	Rhizosphere	Hv	.	C3	9	.
9_5_W_Soil	early	Control	Soil	Hv	.	C4	9	.
9_6_D_Root	early	Drought	Root	SbH	.	C4	9	.
9_6_D_RZ	early	Drought	Rhizosphere	SbH	.	C4	9	.
9_6_D_Soil	early	Drought	Soil	SbH	.	C4	9	.
9_6_W_Root	early	Control	Root	SbH	.	C4	9	.
9_6_W_RZ	early	Control	Rhizosphere	SbH	.	C4	9	.
9_7_D_Root	early	Drought	Root	Zm	.	C4	9	.
9_7_D_RZ	early	Drought	Rhizosphere	Zm	.	C4	9	.
9_7_W_Root	early	Control	Root	Zm	.	C4	9	.
9_7_W_RZ	early	Control	Rhizosphere	Zm	.	C4	9	.
9_7_W_Soil	early	Control	Soil	Zm	.	C4	9	.
9_8_D_Root	early	Drought	Root	Ms	.	C4	9	.
9_8_D_RZ	early	Drought	Rhizosphere	Ms	.	C4	9	.
9_8_D_Soil	early	Drought	Soil	Ms	.	C4	9	.
9_8_W_Root	early	Control	Root	Ms	.	C4	9	.
9_8_W_RZ	early	Control	Rhizosphere	Ms	.	C4	9	.
9_9_W_Root	early	Control	Root	Sn	.	C4	9	.
9_9_W_RZ	early	Control	Rhizosphere	Sn	.	C4	9	.
9_9_W_Soil	early	Control	Soil	Sn	.	C4	9	.
