SampleID	TimePoint	Genotype	Group	Genus	Species	Block	Treatment	SampleType	Ploidy	Status	CountryOrigin	RegionOrigin	PloidyGroup	GenomeLineage
A01_25_D_RH	1	A05	W	Aegilops	Aegilops_tauschii_Coss	25	Drought	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	DD
A01_26_W_RH	1	A05	W	Aegilops	Aegilops_tauschii_Coss	26	Control	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	DD
A01_27_D_RH	1	A05	W	Aegilops	Aegilops_tauschii_Coss	27	Drought	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	DD
A01_28_W_RH	1	A05	W	Aegilops	Aegilops_tauschii_Coss	28	Control	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	DD
B01_11_D_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	11	Drought	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_17_D_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	17	Drought	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_18_W_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	18	Control	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_23_W_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	23	Control	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_24_D_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	24	Drought	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_26_W_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	26	Control	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_27_D_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	27	Drought	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B01_28_W_RH	1	B01	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	28	Control	Rhizosphere	2n	Cultivated	France	Europe	Diploid	Outgroup
B02_11_D_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	11	Drought	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_17_D_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	17	Drought	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_18_W_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	18	Control	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_23_W_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	23	Control	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_24_D_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	24	Drought	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_25_D_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	25	Drought	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_26_W_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	26	Control	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_27_D_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	27	Drought	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B02_28_W_RH	1	B02	In	Hordeum	Hordeum_vulgare_L_subsp_vulgare	28	Control	Rhizosphere	2n	Cultivated	UnitedStates	NorthAmerica	Diploid	Outgroup
B03_11_D_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	11	Drought	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_17_D_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	17	Drought	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_18_W_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	18	Control	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_24_D_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	24	Drought	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_25_D_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	25	Drought	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_26_W_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	26	Control	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_27_D_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	27	Drought	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
B03_28_W_RH	1	B03	In	Hordeum	Hordeum_vulgare_L_subsp_spontaneum_KKoch_Thell	28	Control	Rhizosphere	2n	Wild	Israel	MiddleEast	Diploid	Outgroup
C01_11_D_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	11	Drought	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_17_D_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	17	Drought	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_18_W_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	18	Control	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_24_D_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	24	Drought	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_25_D_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	25	Drought	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_26_W_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	26	Control	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_27_D_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	27	Drought	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C01_28_W_RH	1	C01	Out	Gossypium	Gossypium_hirsutum_L	28	Control	Rhizosphere	4n	Cultivated	UnitedStates	NorthAmerica	Polyploid	Outgroup
C02_26_W_RH	1	C02	Out	Gossypium	Gossypium_hirsutum_L	26	Control	Rhizosphere	4n	Wild	Mexico	NorthAmerica	Polyploid	Outgroup
ENT7_11_D_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	11	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_17_D_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	17	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_18_W_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	18	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_23_W_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	23	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_24_D_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	24	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_25_D_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	25	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_26_W_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	26	Control	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
ENT7_27_D_RH	1	ENT7	W	Triticum	GANAESQUARROSA_180	27	Drought	Rhizosphere	6n	Synthetic	CIMMYT	.	Polyploid	AABBDD
