SampleID	TimePoint	Genotype	Group	Genus	Species	Block	Treatment	SampleType	Ploidy	Status	CountryOrigin	RegionOrigin	PloidyGroup	GenomeLineage
W24_26_W_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	26	Control	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
W24_27_D_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	27	Drought	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
W24_28_W_RH	1	W24	W	Triticum	Triticum_monococcum_L_subsp_aegilopoides_Link_Thell	28	Control	Rhizosphere	2n	Wild	Azerbaijan	Eurasia	Diploid	AA
W25_11_D_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	11	Drought	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_17_D_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	17	Drought	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_18_W_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	18	Control	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_23_W_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	23	Control	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_24_D_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	24	Drought	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_25_D_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	25	Drought	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_26_W_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	26	Control	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_27_D_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	27	Drought	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W25_28_W_RH	1	W25	W	Triticum	Triticum_aestivum_L_subsp_macha_Dekapr_&_Menabde_Mackey	28	Control	Rhizosphere	6n	Wild	Italy	Europe	Polyploid	AABBDD
W26_11_D_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	11	Drought	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_17_D_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	17	Drought	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_18_W_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	18	Control	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_23_W_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	23	Control	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_24_D_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	24	Drought	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_25_D_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	25	Drought	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_26_W_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	26	Control	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W26_28_W_RH	1	W26	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	28	Control	Rhizosphere	2n	Wild	Turkey	Eurasia	Diploid	AA
W27_11_D_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	11	Drought	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_23_W_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	23	Control	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_24_D_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	24	Drought	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_25_D_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	25	Drought	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_26_W_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	26	Control	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_27_D_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	27	Drought	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_28_W_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	28	Control	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W27_W_18_RH	1	W27	W	Triticum	Triticum_urartu_Tumanian_ex_Gandilyan	18	Control	Rhizosphere	2n	Wild	Lebanon	MiddleEast	Diploid	AA
W40_11_D_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	11	Drought	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_17_D_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	17	Drought	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_18_W_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	18	Control	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_23_W_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	23	Control	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_24_D_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	24	Drought	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_25_D_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	25	Drought	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_27_D_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	27	Drought	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W40_28_W_RH	1	W40	W	Triticum	Triticum_turgidum_L_subsp_durum_Desf_Husn	28	Control	Rhizosphere	4n	Cultivated	SouthAfrica	Africa	Polyploid	AABB
W41_11_D_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	11	Drought	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_17_D_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	17	Drought	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_23_W_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	23	Control	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_24_D_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	24	Drought	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_25_D_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	25	Drought	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_26_W_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	26	Control	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_27_D_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	27	Drought	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W41_28_W_RH	1	W41	W	Triticum	Triticum_aestivum_L_subsp_aestivum	28	Control	Rhizosphere	6n	Cultivated	SouthAfrica	Africa	Polyploid	AABBDD
W45_11_D_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	11	Drought	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_17_D_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	17	Drought	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_18_W_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	18	Control	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_23_W_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	23	Control	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_24_D_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	24	Drought	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_25_D_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	25	Drought	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_26_W_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	26	Control	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_27_D_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	27	Drought	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
W45_28_W_RH	1	W45	W	Triticum	Triticum_aestivum_L_subsp_aestivum	28	Control	Rhizosphere	6n	Cultivated	India	Asia	Polyploid	AABBDD
